"geneID","1-Rep1_S1","1-Rep2_S25","1-Rep3_S13","1M-Rep1_S13","1M-Rep2_S1","1M-Rep3_S25","2-Rep1_S2","2-Rep2_S26","2-Rep3_S14","2M-Rep1_S14","2M-Rep2_S2","2M-Rep3_S26","3-Rep1_S3","3-Rep2_S27","3-Rep3_S15","3M-Rep1_S15","3M-Rep2_S3","3M-Rep3_S27","4-Rep1_S4","4-Rep2_S28","4-Rep3_S16","4M-Rep1_S16","4M-Rep2_S4","4M-Rep3_S28","5-Rep1_S5","5-Rep2_S29","5-Rep3_S17","5M-Rep1_S17","5M-Rep2_S5","5M-Rep3_S29","6-Rep1_S6","6-Rep2_S30","6-Rep3_S18","6M-Rep1_S18","6M-Rep2_S6","6M-Rep3_S30","7-Rep1_S7","7-Rep2_S31","7-Rep3_S19","7M-Rep1_S19","7M-Rep2_S7","7M-Rep3_S31","8-Rep1_S8","8-Rep2_S32","8-Rep3_S20","8M-Rep1_S20","8M-Rep2_S8","8M-Rep3_S32","9-Rep1_S9","9-Rep2_S33","9-Rep3_S21","9M-Rep1_S21","9M-Rep2_S9","9M-Rep3_S33","10-Rep1_S10","10-Rep2_S34","10-Rep3_S22","10M-Rep1_S22","10M-Rep2_S10","10M-Rep3_S34","11-Rep1_S11","11-Rep2_S35","11-Rep3_S23","11M-Rep1_S23","11M-Rep2_S11","11M-Rep3_S35","12-Rep1_S12","12-Rep2_S36","12-Rep3_S24","12M-Rep1_S24","12M-Rep2_S12","12M-Rep3_S36"
"11","lcl|AM181176.4_cds_CAY46296.1_11",343.328,226.149,296.53,326.787,242.214,282.114,350.564,236.824,245.879,337.435,243.796,263.805,354.217,245.377,262.642,336.485,249.021,263.488,340.474,260.653,284.02,312.414,261.479,285.259,320.768,273.274,303.707,337.12,290.089,300.845,332.25,284.512,308.495,348.325,277.311,338.15,322.51,288.73,314.349,331.995,295.278,319.493,298.914,304.984,309.798,334.835,308.546,363.323,306.187,304.946,273.687,334.657,308.711,327.919,285.84,304.856,297.188,326.428,316.186,336.265,319.011,315.913,283.667,341.181,317.136,345.044,334.642,313.229,311.785,239.597,328.54,364.715
"12","lcl|AM181176.4_cds_CAY46297.1_12",33.0681,21.8466,35.3802,32.9066,24.9172,33.7101,32.8948,23.3908,20.3458,36.7176,27.1243,26.7133,37.2136,22.1214,24.082,33.875,25.1583,29.9988,41.4625,26.9483,25.2829,35.8676,27.9522,32.3615,44.2427,27.6517,31.9984,37.6443,34.1395,38.3024,44.5449,27.7684,41.7823,35.3446,31.0065,34.4967,46.211,32.362,45.6925,43.7392,35.2793,45.6846,49.3403,33.5546,48.8277,48.3953,32.1457,48.3226,44.8466,34.3818,45.9954,43.4378,30.9304,48.5617,53.7337,31.0956,49.2986,39.0185,44.5283,41.7135,44.2848,36.3367,45.9929,43.3551,33.8047,34.4117,38.6136,33.72,35.5426,59.2968,34.8867,34.2719
"13","lcl|AM181176.4_cds_CAY46298.1_13",87.3493,87.0097,105.822,101.761,90.7608,112.724,100.503,87.5515,73.9152,108.45,92.6211,88.849,101.257,92.7712,83.5546,104.067,90.0099,86.5744,105.705,95.4356,91.3926,103.825,93.4338,88.0847,95.0376,101.61,94.0674,86.7452,104.791,105.393,97.5223,102.426,105.832,96.2807,105.846,108.197,116.843,110.263,107.179,96.4712,109.466,98.6746,108.283,109.329,104.506,92.1381,112.432,107.845,100.298,111.895,100.648,94.5295,114.032,102.611,112.141,110.247,100.703,95.9219,110.991,101.948,111.509,107.759,95.1665,108.37,108.283,114.759,103.382,108.257,95.7629,69.9897,109.108,108.886
"14","lcl|AM181176.4_cds_CAY46299.1_14",62.407,79.013,75.9441,65.7451,84.8219,75.4123,68.9581,84.2553,73.2947,70.401,78.9585,63.9006,68.0526,77.6767,61.4947,64.6843,73.9616,63.2098,68.7585,72.2942,64.6827,72.4476,75.4871,74.4799,47.1527,83.1292,78.8649,60.0312,87.0985,81.3624,65.3803,89.6874,78.1337,34.6326,79.5198,89.673,61.1861,88.4528,81.36,63.2881,90.7582,66.3119,56.508,87.9652,76.2244,59.99,97.1564,81.2837,62.3103,85.37,94.3147,61.9367,78.7501,74.0192,72.9426,83.0354,59.8511,58.552,78.7819,62.1382,52.2229,75.4028,72.3339,50.1515,79.0728,79.582,53.1419,83.3026,47.3925,57.0773,97.4956,72.2634
"15","lcl|AM181176.4_cds_CAY46300.1_15",56.7869,47.7648,61.1541,59.4046,46.9114,62.9496,61.8641,47.5306,47.7149,63.4664,47.7424,55.3464,65.7259,48.7067,50.4465,61.9103,47.069,51.8192,59.5107,50.8716,54.756,60.6827,47.8049,52.8765,51.126,53.3248,55.5107,45.3589,53.829,55.181,50.0715,58.1659,59.1543,48.1852,54.5853,59.3323,59.6072,63.5308,59.2056,51.0178,57.0293,58.3626,55.0788,59.8739,55.1516,48.4624,62.7988,65.9079,47.6821,60.3134,58.3093,45.5877,56.1888,58.6276,59.3524,60.913,48.9895,50.2864,58.3762,55.4108,53.8929,56.3256,55.8991,47.6285,54.2789,60.2823,49.0029,61.6655,57.1949,31.2339,53.6375,60.2986
"16","lcl|AM181176.4_cds_CAY46301.1_16",68.2689,54.673,72.7988,76.8694,55.1588,75.4732,78.5104,56.7391,58.3169,78.867,54.0187,63.2813,73.176,57.4665,60.2,76.4762,55.802,60.0923,63.9565,61.5798,66.5687,68.1919,57.2074,60.3823,58.1079,66.9975,64.4621,47.3086,69.0451,69.544,51.307,77.303,62.3325,50.1419,72.9052,70.6954,61.6268,74.3992,64.6536,52.4074,70.4279,73.7282,58.8109,76.7091,60.1231,51.2119,73.4984,73.8561,53.1646,71.8222,57.1292,53.488,71.5765,60.7613,70.1244,73.2561,54.6165,51.9107,69.536,61.8144,54.6233,68.2899,58.6151,52.0393,65.324,69.9572,51.7278,73.4895,66.563,42.7739,59.2594,67.3556
"17","lcl|AM181176.4_cds_CAY46302.1_17",91.5836,74.7753,105.889,98.2215,73.9207,109.034,101.339,80.2645,80.5932,99.1143,82.1406,90.1593,108.36,81.9863,82.7959,111.396,80.5195,92.3667,98.5875,79.2376,94.6214,96.9655,81.3784,89.0097,77.6463,91.9213,93.5314,65.6363,103.771,97.3272,75.2455,94.5364,97.3424,73.9045,96.685,105.497,79.437,96.5655,105.495,75.3701,97.1814,104.007,74.3504,99.2959,93.5698,68.7991,99.9023,103.518,77.7146,98.3954,97.2493,67.5608,93.2765,88.9298,69.8236,105.149,83.2458,69.8182,95.2938,85.4035,75.2333,104.286,82.2049,67.6699,90.6522,101.961,66.785,92.7205,83.415,31.1928,86.3867,90.1497
"18","lcl|AM181176.4_cds_CAY46303.1_18",360.198,359.393,449.794,400.224,370.68,461.268,407.934,349.57,341.054,390.239,348.701,392.199,438.385,355.465,349.929,474.548,369.309,356.3,428.052,357.876,396.164,442.404,379.856,396.297,406.601,374.806,425.196,393.797,378.464,495.023,372.334,396.261,492.537,434.815,410.172,483.885,435.046,419.924,490.72,437.822,425.158,509.302,397.304,428.19,449.862,447.76,415.172,450.729,378.555,420.106,445.023,411.274,434.2,481.868,414.098,440.019,439.969,400.162,438.879,447.684,393.394,447.481,438.074,408.003,446.036,408.734,346.978,470.796,495.941,578.958,427.321,416.714
"19","lcl|AM181176.4_cds_CAY46305.1_20",3.90591,3.46571,5.16627,4.20932,5.39651,8.06602,4.33368,3.58357,3.70778,4.94919,5.29409,4.3311,5.05206,4.111,3.80977,5.59798,4.53945,5.2993,5.87736,3.6428,5.01141,7.29489,5.38888,5.54175,8.44205,4.10191,5.29078,7.52321,5.06856,4.36655,8.47567,4.73935,5.22345,6.75609,3.99273,5.62915,10.5532,5.66869,6.42955,7.52024,6.02322,6.40113,9.29365,5.69816,8.54346,9.56508,5.93035,7.37068,11.7015,5.92824,9.62003,8.76338,5.7702,9.45468,11.07,6.89826,9.77045,8.4587,7.29186,8.56874,11.9859,5.99196,9.50859,11.4171,6.72956,9.75884,8.97453,6.93828,9.40945,8.06641,7.55929,9.26913
"20","lcl|AM181176.4_cds_CAY46306.1_21",57.099,50.6394,71.2026,66.0139,45.2541,66.2775,70.1341,48.0047,43.5981,66.0481,49.7279,33.3198,67.943,55.5493,50.1409,82.8056,52.9648,47.0103,78.5902,53.8967,52.3602,86.4084,57.3756,58.5904,73.8098,54.6179,64.6776,76.2755,71.6129,61.4947,79.3736,67.0223,80.3244,81.1318,68.8788,67.9373,97.4355,78.9297,85.4071,87.7989,80.4194,68.7699,99.6978,81.6056,95.8146,96.5898,76.9155,77.3862,95.8892,87.6399,100.04,79.8398,88.5328,67.3917,76.1227,84.8063,78.7212,82.2715,85.0086,69.2742,110.249,89.1038,98.1594,98.7208,86.7163,78.9154,89.2208,92.7301,69.3371,30.996,100.233,66.3747
